Support Ticket Output Gpt Subcategory,Zendesk Tickets ID,Zendesk Tickets Subject,Zendesk Comments ID,Zendesk Tickets Ent ID,Zendesk Tickets Root Cause,Zendesk Comments Body
Reselection,78969,Smart Tip - Notice Period: Flickering Issue,46549193050905,432193b0-7e2f-4bbb-9ed4-905446cd3477,element’spropertiesweredynamicallychangingwhenhoveringoverthetip.\n\nAddedcssselectortofixtheissue,"Hi Team – Our Smart Tip for Notice period is blinking upon hovering the mouse. The Navigation to reach that page is below -

1. Click**Me**
2. Click **Personal Inormation**
3. Click **Employee Info**



Our dashboard URL is as below –

https://whatfix.com/dashboard-guidance/BNY_Oracle_HCM/#/integrations/dashboard



Can you please fix this? Let me know if a call is needed.



Regards,

Navdeep

* * *
**Notice: We've simplified our company umbrella brand to BNY. While we're making updates to our channels to reflect this change, you may still see emails from bnymellon.com. For more information on our brand evolution please read about it in our Newsroom.**


_Notice: The information contained in this e-mail, and any attachment, is confidential and is intended solely for the use of the intended recipient. Access, copying, or re-use of the e-mail or any attachment, or any information contained therein, by any other person is not authorized. If you are not the intended recipient, please return the e-mail to the sender and delete it from your computer. Emails may be interfered with and may contain viruses or other defects. We provide no warranties in relation to these matters. For information on how to help protect yourself from fraud, including cyberfraud and other fraudulent activity, please visit our Information Security and Protection Page. Please refer to https://www.bny.com/corporate/emea/en/disclaimers/eu-disclosures.html for certain disclosures relating to European legal entities. Please note that we may use tracking pixels to monitor your interaction with reports and data delivered via this email. To learn how BNY Mellon uses personal information, please read our Data Privacy Notice.

To unsubscribe from this group and stop receiving emails from it, send an email to support+unsubscribe@whatfix.com._"
Reselection,78969,Smart Tip - Notice Period: Flickering Issue,46549561143065,432193b0-7e2f-4bbb-9ed4-905446cd3477,element’spropertiesweredynamicallychangingwhenhoveringoverthetip.\n\nAddedcssselectortofixtheissue,"Hi Navdeep,

Thank you for reaching out to Whatfix's Support. I hope you are doing well!

Kindly allow me some time to check the smart tip and I’ll get back to you shortly with an update.

Thanks & Regards,
Pranav Kanagal"
Reselection,78969,Smart Tip - Notice Period: Flickering Issue,46550122628249,432193b0-7e2f-4bbb-9ed4-905446cd3477,element’spropertiesweredynamicallychangingwhenhoveringoverthetip.\n\nAddedcssselectortofixtheissue,"Hi Navdeep,

We are not able to access the application with the User ID: XBBJ9BX

Can you please help me with this so that I can check this further at my end?

Thanks & Regards,
Pranav Kanagal"
Reselection,78969,Smart Tip - Notice Period: Flickering Issue,46550181762585,432193b0-7e2f-4bbb-9ed4-905446cd3477,element’spropertiesweredynamicallychangingwhenhoveringoverthetip.\n\nAddedcssselectortofixtheissue,"Hi Pranav – Could you please confirm which Instance you are trying log in? DEV6, DEV11 or DEV17 ??



Thanks

Navdeep"
Reselection,78969,Smart Tip - Notice Period: Flickering Issue,46551618646553,432193b0-7e2f-4bbb-9ed4-905446cd3477,element’spropertiesweredynamicallychangingwhenhoveringoverthetip.\n\nAddedcssselectortofixtheissue,"Hi Navdeep,

I tried accessing the Dev11 and could successfully login. I was previously trying for dev3.

I will further check the smart tip issue and write back here with an update accordingly.

Thanks & Regards,
Pranav Kanagal"
Reselection,78969,Smart Tip - Notice Period: Flickering Issue,46574679103129,432193b0-7e2f-4bbb-9ed4-905446cd3477,element’spropertiesweredynamicallychangingwhenhoveringoverthetip.\n\nAddedcssselectortofixtheissue,"Hi Navdeep,

Upon investigating the issue with the Smart Tip, I found that the element’s properties were dynamically changing when hovering over the tip. This behaviour caused the tip to repeatedly disappear and reappear after the tooltip vanished, creating a recursive loop.

To resolve this, I applied a CSS selector to stabilise the Smart Tip. The updated version has been moved to the **Ready** stage.I also noticed a similar issue with the Smart Tip titled ""**Grade**” and I have applied the same fix to that tip as well.

Please test both tips on your end and let me know if everything is working as expected or if you face any further issues. I'm happy to assist further if needed.

Thanks & Regards,
Pranav Kanagal"
Reselection,78969,Smart Tip - Notice Period: Flickering Issue,46575243417497,432193b0-7e2f-4bbb-9ed4-905446cd3477,element’spropertiesweredynamicallychangingwhenhoveringoverthetip.\n\nAddedcssselectortofixtheissue,"Hi Pranav – Both the smart tips are working fine in DEV11 instance now. Can you please move this to Prod?



Also wanted to check if I can click on publish, will this move to prod or any other action is required.

![](https://whatfix.zendesk.com/attachments/token/hC1lRNkWXQPPGxUPAjB5qPZgM/?name=image001.png)"
Reselection,78969,Smart Tip - Notice Period: Flickering Issue,46575251677209,432193b0-7e2f-4bbb-9ed4-905446cd3477,element’spropertiesweredynamicallychangingwhenhoveringoverthetip.\n\nAddedcssselectortofixtheissue,"Morning,



Try password: Driver12345!



George Townson

**Business Analyst**

** **

 **![](https://whatfix.zendesk.com/attachments/token/UeuHKGqVUgQs6rYJB1RYultZD/?name=Outlook-qj504olv.png)**
**t: **
** ** +44 7894475070

**e:**
** george.townson@microlise.com**

**w:**
**  www.trutac.co.uk**

 **![](https://whatfix.zendesk.com/attachments/token/kddUVaXnSIg2PqsWxV4ypKZqv/?name=Outlook-dotx3bcq.png)**
 **![](https://whatfix.zendesk.com/attachments/token/7QPNGFknTNHXxOdjB3EfpOoby/?name=Outlook-wb2njdn0.png)**
 **![](https://whatfix.zendesk.com/attachments/token/bjsZ7TfVaNBoHLuHdbco0hKjt/?name=Outlook-lbesx0vr.png)**
 **![](https://whatfix.zendesk.com/attachments/token/LZIv9sioOY0GC24DBGXuHqJu8/?name=Outlook-rmppo5td.png)**
**a:**
**  5 & 6 Westwood House, Coventry, CV4 8HS**



**Upcoming Annual Leave:**

**23/06/2025 - 27/06/2025**

**21/08/2025 - 26/08/2025**

**22/09/2025 - 26/09/2025**

**22/12/2025 - 02/01/2026**

* * *"
Reselection,78969,Smart Tip - Notice Period: Flickering Issue,46575319336985,432193b0-7e2f-4bbb-9ed4-905446cd3477,element’spropertiesweredynamicallychangingwhenhoveringoverthetip.\n\nAddedcssselectortofixtheissue,"Hi Navdeep,

Thanks for confirming. There is no other action needed. You can just select the two tips and click on '**Publish**' and this is will be pushed to production.

Feel free to reach out if you have any further questions — I’ll be happy to assist you!

If there are no further queries, I will proceed with the closure of this ticket.

Thanks & Regards,
Pranav Kanagal"
Reselection,78969,Smart Tip - Notice Period: Flickering Issue,46575661542937,432193b0-7e2f-4bbb-9ed4-905446cd3477,element’spropertiesweredynamicallychangingwhenhoveringoverthetip.\n\nAddedcssselectortofixtheissue,"Thanks Pranav. I have published and issue is resolved in Production now.

Both the smart tips are appearing as expected.



Thanks

Navdeep"
Reselection,78969,Smart Tip - Notice Period: Flickering Issue,46576019083417,432193b0-7e2f-4bbb-9ed4-905446cd3477,element’spropertiesweredynamicallychangingwhenhoveringoverthetip.\n\nAddedcssselectortofixtheissue,"Thanks for confirming, Navdeep.

Since the issue is resolved, I will proceed with the closure of this ticket.

Wishing you a fantastic rest of the week!

Thanks & Regards,
Pranav Kanagal"
Reselection,78969,Smart Tip - Notice Period: Flickering Issue,46576046283673,432193b0-7e2f-4bbb-9ed4-905446cd3477,element’spropertiesweredynamicallychangingwhenhoveringoverthetip.\n\nAddedcssselectortofixtheissue,"Thanks for your help. Much appreciated!



Navdeep"
Reselection,78969,Smart Tip - Notice Period: Flickering Issue,46576118234009,432193b0-7e2f-4bbb-9ed4-905446cd3477,element’spropertiesweredynamicallychangingwhenhoveringoverthetip.\n\nAddedcssselectortofixtheissue,"Always happy to help, Navdeep! 😄

If you haven’t already, please take a moment to fill out the feedback survey we sent your way—we truly value your input and would love to hear about your support experience.

As always, if you run into any other issues or have further questions, feel free to reach out to us at support@whatfix.com. We’ll be more than happy to assist.

Wishing you a great rest of your day!

Thanks & Regards,
Pranav Kanagal"
